,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
395,61.31,6.804,26.8,1309,1412,1519,0.151,105,478,89.41587,48.685665
396,60.654,7.119,16.2,1281,1379,1422,0.103,329,493,58.764584,28.838367
397,61.495,6.547,13.3,1135,1515,1627,2.808,65,2065,113.382416,31.098019
398,61.395,8.68,16.0,1621,1804,2075,1.066,35,1826,123.184494,42.149734
399,62.119,6.64,15.0,1375,1417,1452,0.064,333,301,57.306133,30.017015
400,61.96,7.523,21.2,1434,1501,1593,0.067,79,395,97.437225,53.78093
401,61.951,7.394,27.4,1386,1452,1524,0.064,346,280,56.5332,27.815405
402,69.645,20.764,10.8,1121,1141,1177,0.054,14,293,127.124794,73.529274
403,66.997,14.325,20.5,1204,1265,1315,0.114,200,316,65.29811,38.63352
404,61.804,8.285,17.2,1646,1800,1948,0.572,93,1006,91.39622,38.143692
405,61.423,6.987,7.4,1434,1462,1508,0.147,230,528,56.052544,34.992508
406,69.4,19.176,34.6,726,785,902,0.112,135,266,91.32732,54.676094
407,61.693,8.588,30.0,1763,1862,2023,0.209,92,534,90.51008,39.829784
408,69.842,20.616,24.1,731,829,975,0.232,69,539,109.57883,59.547897
409,62.254,7.541,38.7,1407,1446,1517,0.015,1,135,136.0071,73.88344
410,62.187,7.761,17.3,1509,1570,1641,0.092,18,520,125.05772,64.62275
411,61.658,6.606,26.1,1248,1313,1357,0.037,45,226,117.566605,71.65058
412,68.637,18.087,15.7,946,1015,1118,0.263,99,442,94.42956,54.114864
413,68.945,18.574,27.0,1095,1227,1377,0.307,119,568,86.70637,38.45144
414,66.763,14.364,10.3,1043,1196,1296,1.048,38,1698,118.337326,50.40821
415,68.131,17.842,11.5,1224,1391,1658,2.573,47,2421,114.88725,33.861942
416,66.885,14.48,14.3,1120,1183,1331,0.27,181,889,65.9554,35.620274
417,61.736,7.708,11.9,1509,1688,2009,2.669,44,2869,124.143524,34.812557
418,61.648,6.289,11.5,1026,1211,1420,1.651,10,2334,138.24516,47.26709
419,67.985,16.834,18.8,1164,1261,1336,0.106,242,516,60.375153,29.976591
420,62.176,7.078,20.1,1278,1366,1455,0.103,76,564,101.24949,56.574627
421,61.789,8.244,12.1,1787,1841,1885,0.132,89,507,89.951805,46.8569
422,61.779,7.927,14.4,1653,1779,1942,1.601,18,1550,123.23791,44.47469
423,68.289,17.936,15.3,1222,1360,1590,1.59,12,2024,130.17252,42.96076
424,60.047,7.033,19.8,1382,1446,1554,0.302,42,396,114.95155,62.953667
425,66.991,14.34,16.5,776,910,1089,0.481,105,745,93.32306,49.53686
426,61.796,5.853,7.9,1029,1334,1476,2.243,174,2969,72.699356,22.648308
427,61.727,6.951,21.4,856,946,1070,0.079,355,461,69.50142,36.597706
428,62.213,6.778,31.6,1203,1284,1376,0.094,333,251,59.636265,29.160406
429,66.601,14.054,23.8,877,1123,1561,1.327,337,1617,58.525803,21.623913
430,60.373,6.958,18.9,1381,1450,1534,0.44,44,541,114.01316,61.79995
431,61.78,7.164,10.7,1445,1694,1789,2.141,347,2403,50.99896,19.308104
432,68.095,18.012,9.5,1284,1388,1435,0.536,36,1347,117.13038,52.616276
433,61.646,6.998,5.9,648,1560,1920,47.472,133,20867,99.78311,22.11174
434,60.097,6.426,6.1,1205,1478,1593,4.447,316,3356,49.1528,14.4332
435,66.656,14.644,5.6,1196,1262,1297,0.27,3,772,133.33037,70.76548
436,60.227,6.812,16.1,1389,1524,1652,0.914,29,1176,121.78079,52.46623
437,61.786,7.079,27.8,1372,1447,1555,0.124,75,385,100.35738,54.850426
438,68.256,17.745,21.5,1104,1293,1447,0.453,66,1216,107.56776,42.54091
439,61.714,6.733,15.4,1069,1578,1726,3.383,91,2058,109.996826,26.826866
440,62.229,6.69,15.9,1001,1172,1364,0.568,313,1552,52.276756,23.45922
441,66.454,14.699,21.4,1112,1246,1425,0.52,340,1017,54.18922,21.89025
442,68.095,17.872,16.1,1280,1384,1466,0.307,121,615,83.27006,38.902374
443,66.465,13.579,10.8,845,1072,1238,1.575,350,2011,55.904408,19.26705
444,67.265,15.977,9.6,1285,1387,1492,0.785,258,873,52.809307,24.726908
445,69.688,20.144,13.8,559,841,1199,4.141,94,3375,98.38915,23.201979
446,65.407,13.238,11.2,790,1096,1163,0.622,208,1161,69.33825,30.513918
447,65.936,14.181,25.7,983,1166,1402,0.403,3,1048,138.32494,56.80115
448,61.556,8.441,12.3,1530,1904,2256,2.799,25,3284,151.24591,37.17373
449,69.452,19.376,13.2,678,921,1124,2.23,65,2430,109.09322,33.745335
450,62.361,8.827,17.1,1652,1691,1736,0.115,37,280,113.73473,60.710392
451,65.978,14.242,19.9,1013,1330,1781,3.596,170,2431,81.53838,19.223337
452,69.536,19.935,28.1,853,978,1279,0.599,75,1091,103.07498,41.29223
453,65.34,13.744,25.5,1174,1324,1389,0.113,187,280,68.31115,38.14845
454,69.53,19.884,17.9,671,979,1678,6.337,21,4302,133.28046,22.034906
455,65.963,13.564,18.1,985,1159,1315,0.832,87,1195,98.08101,42.41221
456,66.538,14.854,21.1,881,943,1039,0.103,82,388,104.24814,64.24695
457,61.636,7.467,10.8,1333,1660,1740,2.514,55,2443,118.92654,32.839573
458,68.266,18.127,10.9,1171,1203,1242,0.086,63,360,105.9877,61.941467
459,68.264,18.083,6.8,1346,1417,1446,0.382,107,837,86.49896,42.33062
460,68.317,18.076,12.7,1117,1278,1370,0.539,88,965,96.952644,42.35991
461,68.273,18.091,15.4,1212,1292,1359,0.1,34,596,118.6994,60.725624
462,68.282,18.055,10.8,1204,1342,1458,0.938,110,1287,86.84404,34.00677
463,68.25,18.109,11.3,1195,1215,1293,0.088,105,301,87.9813,51.654808
464,68.295,18.078,21.3,1077,1122,1236,0.063,80,409,100.20712,55.22449
465,68.341,18.065,21.9,1204,1307,1389,0.478,97,515,91.818855,43.992397
466,68.291,18.044,13.9,1246,1346,1401,0.199,19,488,124.908714,62.69939
467,68.309,18.078,13.7,1205,1240,1275,0.132,100,309,90.94719,53.362766
468,68.3,18.068,11.9,1151,1184,1235,0.14,134,416,80.24061,48.550476
469,68.277,18.071,11.5,1218,1243,1298,0.099,351,382,60.065117,28.665998
470,68.33,18.057,13.2,1261,1309,1350,0.15,92,355,92.89742,51.39138
471,68.326,18.066,9.7,1206,1305,1388,0.352,63,681,104.63907,51.347927
472,61.458,6.946,21.8,1417,1588,1648,0.107,336,340,53.87837,25.295305
473,61.46,6.887,8.5,1414,1514,1673,0.963,355,1712,46.34324,22.525246
474,61.488,6.914,12.6,1395,1503,1580,0.488,131,744,76.438736,40.657288
475,61.467,6.899,9.8,1129,1324,1551,3.492,60,2675,109.28072,30.515799
476,61.491,6.898,23.3,1160,1381,1649,0.98,17,1018,130.97194,49.263866
477,61.454,6.873,8.7,1578,1626,1674,0.12,216,459,53.251743,34.72057
478,61.456,6.95,20.0,1375,1556,1655,0.428,122,757,82.13465,38.281372
479,61.494,6.919,17.0,1244,1423,1531,0.501,358,946,52.901413,23.850288
480,61.466,6.971,9.2,1408,1496,1520,0.123,335,638,54.46913,26.983788
481,61.452,6.88,9.9,1400,1518,1675,0.662,171,1541,64.262794,30.259953
482,61.454,6.893,8.9,1292,1492,1653,1.975,152,1969,69.816154,26.117773
483,61.486,6.903,15.9,1440,1507,1604,0.259,161,603,66.57829,38.17137
484,61.457,6.917,15.3,1212,1380,1535,0.859,39,1435,119.0602,49.83427
485,61.79,6.897,9.7,1765,1815,1844,0.13,304,467,47.275566,26.510971
486,61.826,6.889,37.4,1181,1336,1464,0.122,26,532,128.76013,63.11457
487,61.817,6.896,19.6,1541,1660,1690,0.124,133,350,76.90388,41.569904
488,61.771,6.889,5.2,1742,1781,1785,0.102,171,445,61.002697,38.08322
489,61.772,6.888,24.3,1435,1705,1785,0.296,348,786,53.21068,24.122099
490,61.814,6.882,17.0,1481,1516,1549,0.049,286,280,55.034092,29.2585
491,61.761,6.922,18.5,1259,1587,1838,1.261,24,1880,136.2864,41.090076
492,61.823,6.898,35.4,1340,1460,1539,0.05,31,354,124.09988,63.682228
493,61.748,6.919,24.4,1659,1769,1799,0.068,107,280,85.843376,44.98688
494,61.813,6.902,25.7,1380,1501,1583,0.119,68,504,104.735794,54.05349
495,61.75,6.916,20.8,1538,1685,1816,0.463,315,1097,48.6795,25.505604
496,61.8,6.89,11.6,1386,1597,1781,1.219,328,1549,49.43822,22.872438
497,61.821,6.881,30.5,1372,1488,1610,0.201,320,448,52.38475,24.963078
498,61.791,6.917,13.9,1226,1697,1846,2.331,88,2616,116.48925,29.465975
499,61.801,6.932,31.8,1249,1482,1697,0.313,27,645,127.07185,51.359478
500,61.798,6.903,12.8,1192,1630,1842,2.385,10,2477,153.48767,38.296803
501,61.771,6.901,16.5,1231,1611,1784,2.053,78,1769,108.242714,31.965017
502,62.044,7.316,23.5,1449,1547,1598,0.096,69,335,103.07038,55.71104
503,62.054,7.119,19.8,1445,1488,1517,0.036,59,182,107.06579,64.000244
504,62.0,6.875,21.8,1221,1268,1313,0.077,88,224,98.34411,63.95181
505,62.069,7.172,17.2,1512,1585,1636,0.176,83,372,94.57423,52.49696
506,61.962,7.103,22.9,1294,1446,1609,0.443,89,763,94.47858,43.934666
507,62.038,6.869,20.7,1230,1330,1400,0.102,21,429,128.25215,70.39425
508,62.062,7.169,7.2,1525,1543,1560,0.046,195,255,59.642628,40.685375
509,62.071,7.161,14.5,1540,1613,1628,0.062,292,365,52.72398,27.780222
510,62.03,7.202,21.2,1397,1539,1691,0.396,82,652,95.94766,44.84425
511,61.972,7.169,33.8,1321,1385,1465,0.063,333,276,57.983784,28.257391
512,61.959,7.182,26.8,1448,1528,1665,0.129,303,391,50.66777,25.775593
513,61.943,7.363,16.9,1344,1449,1581,0.456,356,854,50.44843,24.008293
