,CenLat,CenLon,Slope,Zmin,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
242,47.0655,12.727,27.3,2858,2991,0.029,109,251,61.955643,44.131123
243,47.0732,12.3923,16.5,3034,3233,0.29,193,677,49.90477,45.43469
244,47.1047,11.0176,17.4,2841,3235,0.642,278,1351,49.3491,37.61125
245,47.0643,12.5872,16.5,2791,3121,0.503,138,966,63.584198,42.804554
246,47.0636,12.7008,25.5,2911,3103,0.148,131,372,58.345097,44.625145
247,47.0814,12.0932,29.2,2588,3040,0.317,42,848,94.09476,37.039455
248,47.0563,12.9604,42.6,2601,2827,0.039,25,226,90.2975,38.8421
249,47.063,12.6863,22.7,2951,3127,0.106,132,582,59.369385,44.541374
250,47.053,12.9472,14.5,2704,3032,0.796,251,1346,48.80293,37.050556
251,47.063,12.716,24.1,2889,3102,0.121,196,491,48.46695,45.436718
252,47.0831,12.0849,14.4,2927,2966,0.013,228,160,40.315052,45.541798
253,47.1039,11.0289,19.9,2912,3236,0.28,86,909,75.778114,39.960518
254,47.0857,11.9608,43.5,2893,2955,0.011,64,112,70.97542,41.696873
255,47.0832,12.0301,35.9,2647,2904,0.074,43,375,85.218475,39.81135
256,47.0874,11.7086,21.0,2761,3152,0.471,48,885,88.40471,37.287727
257,47.082,11.9652,28.7,2535,2983,0.292,55,872,91.2189,38.01894
258,47.0777,12.231,47.1,2704,2892,0.019,38,146,82.83527,40.458427
259,47.0628,12.7269,25.8,2935,2993,0.015,57,112,72.853424,41.97338
260,47.0413,13.3333,29.5,2802,2894,0.02,49,177,77.84071,41.550156
261,47.0797,12.133,18.7,2730,2786,0.019,299,177,41.933643,45.597725
262,47.0729,12.2248,20.2,2511,3054,0.512,311,1423,54.10053,32.16573
263,47.0666,12.2671,26.6,2440,3421,1.64,133,2146,98.54754,26.559097
264,47.0654,12.5781,28.7,2864,3018,0.036,302,250,38.76121,39.53151
265,47.1128,10.3689,39.8,2864,2973,0.015,167,127,48.75098,45.63233
266,47.0502,12.9568,21.4,2839,3052,0.242,156,552,54.94087,44.57824
267,47.0583,12.7315,22.7,2787,3166,0.283,52,809,86.696526,38.243904
268,47.0374,13.3264,21.1,2801,2899,0.069,266,280,39.20961,41.925835
269,47.0999,11.0627,29.9,2685,2987,0.083,344,525,44.435986,35.014797
270,47.062,12.5765,20.8,2825,3077,0.179,252,808,45.376587,41.26932
271,47.1007,11.0705,38.1,2790,2952,0.026,46,255,79.53434,40.824574
272,47.0996,11.0768,36.8,2722,2901,0.045,20,214,89.113846,38.73989
273,47.0718,12.2354,31.2,3110,3352,0.069,298,236,40.23485,41.55535
274,47.0781,12.0343,41.0,2883,2967,0.011,46,106,76.34575,41.26665
275,47.0568,12.7429,26.3,2732,2874,0.041,60,276,76.97528,41.818253
276,47.0478,13.0027,26.2,2649,2750,0.03,64,180,76.92207,42.50046
277,47.0574,12.2454,19.4,2458,3398,4.254,228,3722,85.02001,18.973053
278,47.0784,11.9681,37.3,2591,2891,0.079,74,302,77.03126,41.77681
279,47.0634,12.4043,16.8,2909,3116,0.144,294,627,41.22036,39.589348
280,47.0464,12.9623,15.1,2642,2699,0.078,130,200,57.04297,44.046925
281,47.034,13.3297,22.2,2901,2957,0.019,255,135,38.601963,43.81305
282,47.0434,13.0181,24.3,2856,3091,0.15,359,426,43.072735,36.630035
283,47.0677,12.2374,33.4,3165,3447,0.093,257,426,44.07532,44.92971
284,47.0938,11.1183,21.4,2967,3192,0.176,89,518,69.53374,42.39454
285,47.0659,12.2211,25.4,2418,3145,0.839,304,1933,62.843437,29.826927
286,47.0636,12.4104,21.6,2897,3042,0.026,109,400,63.012585,44.328663
287,47.0936,11.0764,22.1,3031,3172,0.083,120,460,60.380924,44.767647
288,47.0421,12.9702,15.2,2379,2755,0.635,45,1220,97.78492,35.704647
289,47.0323,13.2716,20.9,2531,2731,0.139,33,504,91.4016,39.554176
290,47.0259,13.3143,25.1,2510,3096,1.566,337,1075,52.082306,26.843784
291,47.0728,12.0367,29.6,2855,2928,0.014,83,125,66.99903,42.773464
292,47.0723,11.9744,27.6,2562,2855,0.108,24,620,95.623955,37.16374
293,47.0801,11.6978,27.0,2817,3011,0.083,301,376,39.83552,38.564472
294,47.0827,11.1193,12.8,2667,3257,3.25,53,3184,106.11417,26.911257
295,47.071,12.0393,33.8,2738,2909,0.039,55,269,78.142204,41.29981
296,47.0407,13.0144,33.9,2850,3034,0.06,235,276,42.36213,43.288097
297,47.0634,12.2095,33.3,2574,2983,0.141,10,641,101.981224,35.690094
298,47.0404,13.0185,26.3,3035,3085,0.013,226,125,40.162987,45.8666
299,47.0385,13.0049,14.2,2526,2729,0.209,233,673,45.331234,40.02105
300,47.0607,12.2303,24.9,2884,3214,0.469,169,770,56.331985,43.946995
301,47.0706,11.9788,33.8,2571,2803,0.038,49,340,84.31544,40.668205
302,47.0199,13.3338,18.2,2525,3296,2.331,71,2310,104.64478,26.520916
303,47.062,12.206,30.9,2595,3013,0.093,321,770,47.855106,34.227493
304,47.0571,12.4115,22.0,2771,3080,0.192,82,863,77.29592,40.695866
305,47.0348,13.0165,18.5,2776,3015,0.191,248,727,44.890102,41.079018
306,47.0268,13.2792,18.3,2663,2761,0.033,21,309,91.11679,40.110546
307,47.0647,12.0426,20.4,2755,3046,0.24,61,777,82.444305,39.827564
308,47.0603,12.2612,38.9,2971,3211,0.05,94,257,66.59858,43.712437
309,47.0373,12.9779,24.0,2574,2682,0.025,175,255,48.736538,44.66161
310,47.0654,11.6636,17.7,2597,3266,3.69,0,2746,115.882576,28.766756
311,47.0635,11.9778,28.2,2632,3154,0.443,77,903,85.72235,37.248302
312,47.0718,11.6831,26.8,2627,2912,0.229,339,467,44.601498,35.644882
313,47.0583,12.2606,39.0,3054,3168,0.014,114,125,58.61471,44.844585
314,47.0876,10.8816,31.1,2851,3020,0.044,40,257,80.852325,40.21811
315,47.0518,12.417,25.5,2856,3067,0.108,70,451,74.60774,41.899033
316,47.0572,12.2128,26.9,2854,3012,0.079,220,313,43.372402,44.52642
317,47.0331,13.0113,13.8,2718,2754,0.013,301,146,42.89368,47.523235
318,47.051,12.4099,20.9,3053,3150,0.052,122,280,58.044292,45.135784
319,47.0309,13.0244,20.9,2772,2873,0.062,61,285,75.83763,42.156143
320,47.0621,12.0383,18.8,3012,3066,0.014,13,127,85.07896,40.069847
321,47.0537,12.2646,26.0,2653,3085,0.315,70,949,85.660095,38.334324
322,47.0753,11.0941,22.0,2610,3151,0.631,360,1649,55.05425,29.582403
323,47.0299,13.0327,33.8,2814,2885,0.011,342,135,44.242847,46.311985
324,47.0723,11.0745,13.9,2653,3093,1.721,4,2250,112.8353,31.155897
325,47.0162,13.3109,30.0,2537,3115,0.449,251,1139,56.670345,35.720238
326,47.0678,11.6802,21.5,3081,3147,0.03,333,226,37.975258,41.633465
327,47.0584,11.9807,34.2,2703,3039,0.107,66,471,80.28706,40.62294
