,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Zdelta,avg predicted thickness,predicted thickness std dev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
42,80.6185,-71.0924,11.5,651,1233,1566,27.38,269,4506,915,65.35641,2.962114,67.53324,62.58879,69.742676,67.39425,67.05618,65.8921,67.04356,66.38953,65.488976,65.47082,62.450542,63.12757,67.069534,66.03056,60.402626,67.61774,62.313114,62.91113,67.84463,66.73924,61.550106,57.5253,70.62737,66.23824,66.86236
43,80.653,-71.0189,8.4,450,1106,1533,29.368,125,13163,1083,105.804855,4.6903663,112.69995,101.53021,111.66546,108.80655,106.09995,106.65381,104.051895,110.956245,108.40048,106.20377,95.74541,101.04317,110.50846,104.82161,99.53151,107.3919,100.20687,102.16702,112.512566,107.8399,103.38923,96.95908,111.04354,108.86947,106.0231
44,80.6571,-70.8151,11.3,611,1432,1670,17.189,248,5736,1059,72.1889,3.1675532,75.14544,69.5465,76.887886,74.93345,73.20252,73.17467,73.248024,73.52688,72.31297,72.50769,68.64867,70.01427,74.55872,72.29928,67.070625,74.201935,68.43483,69.42482,75.57066,73.47411,68.057556,64.13451,77.38986,73.16739,73.78913
45,81.109,-68.3905,9.3,366,1138,1434,30.458,335,14259,1068,111.929,4.374637,114.85238,107.39287,120.15892,111.51148,113.080185,109.80735,110.980896,115.340034,114.20375,109.02088,107.59481,110.76563,114.35627,114.13939,105.68659,113.72544,106.09988,110.774216,119.98628,112.08027,109.10739,101.83523,119.87577,113.65615,112.19294
46,80.6468,-70.681,13.0,905,1387,1620,12.702,164,3033,715,47.864624,2.6610491,48.92906,45.264122,49.66042,50.325542,48.546154,48.73346,50.23077,50.205456,48.036995,49.468513,45.446438,43.77006,49.595,47.48193,44.00341,50.487644,45.472668,46.343586,51.40386,48.515022,45.584442,40.1898,50.92236,48.55308,49.44584
47,80.6425,-70.5131,9.9,161,1257,1820,38.776,200,15943,1659,128.8467,5.477313,135.17607,124.64403,138.37633,133.553,126.49311,129.68285,125.008224,133.00296,131.68672,126.602135,119.53608,127.14593,134.90125,128.22896,120.686066,130.26411,120.22031,125.32959,137.61104,128.84096,125.75129,120.16678,137.81516,130.11143,130.33286
48,80.5999,-70.3657,17.5,1015,1181,1498,2.411,325,2249,483,37.4934,1.7312571,38.041412,36.983696,38.311447,37.12421,39.460194,38.82292,39.73588,38.718147,37.758926,37.891396,35.27757,34.948837,34.380096,36.260536,35.394974,38.85084,39.66444,39.29095,39.688995,36.84188,36.786552,33.257786,38.16425,37.907707,37.771416
49,80.6107,-70.2387,13.3,856,1105,1496,6.487,29,4059,640,53.360184,2.7370667,54.151485,52.85266,53.80208,53.89371,53.335785,52.809322,53.45513,57.627903,53.603214,56.62766,49.66803,47.079727,56.806557,52.726196,50.334858,54.178284,52.704323,52.73126,56.510662,55.161522,53.1391,46.196354,57.299816,54.116016,53.193035
50,80.5785,-70.3321,13.9,468,1319,1583,15.588,319,8194,1115,78.67469,3.101704,79.91883,76.214134,83.86711,79.304245,80.17206,77.82658,78.50131,79.73507,79.16542,77.44801,75.98198,78.47955,80.05784,80.53708,74.15869,79.89816,75.79964,78.26657,83.16185,79.285736,73.82942,70.89246,85.84809,79.33439,79.183075
51,80.5451,-70.3186,14.8,110,1198,1754,14.55,284,7926,1644,92.01161,3.7249992,93.78063,89.99803,97.884445,94.89443,92.338326,91.111984,89.69544,92.23595,92.09076,91.13766,88.62283,92.84683,95.38698,93.257904,86.551346,93.79294,86.991516,89.34235,96.204475,91.74024,86.59722,85.28121,102.07775,92.01575,94.41329
52,80.5282,-70.1377,14.9,586,1130,1470,3.1,235,4302,884,54.88494,2.5405884,56.627068,52.484344,57.69584,57.197197,56.583355,55.47833,56.25372,56.546246,55.315933,54.55897,51.908382,52.722717,56.15955,54.78943,51.075405,56.314846,53.62142,54.21762,57.65925,56.189034,50.807762,47.846386,59.517517,55.104244,55.44902
53,80.5377,-70.0237,10.9,674,1270,1733,10.547,140,7469,1059,76.942406,3.78818,80.73587,73.61757,81.340805,80.83876,77.672325,79.208786,76.8213,80.263954,78.31078,79.03117,71.36141,72.52581,80.14046,75.6781,71.09954,78.7332,71.74111,73.165596,82.25719,77.93704,73.36065,68.933,81.69922,77.94291,79.14369
54,80.5461,-69.8725,9.5,633,1080,1452,12.329,110,8341,819,78.84183,3.7883325,83.43757,75.656845,82.66115,81.153534,80.15768,80.07553,78.3505,83.124245,80.59008,81.087585,71.68905,73.66903,81.436295,77.87167,74.17316,80.18261,75.07075,75.52419,84.584274,80.322914,76.40197,69.90328,82.84941,80.99434,80.07807
55,80.51,-69.6473,15.0,557,947,1321,4.595,31,3673,764,53.054966,3.016048,53.85258,51.763657,52.880775,54.827667,53.059353,52.893055,53.519547,58.362263,53.698135,56.63876,50.37576,47.309933,56.67618,52.387375,48.698635,53.67079,51.373768,52.492264,56.18829,54.59697,52.260212,44.64062,57.541977,53.096043,53.56956
56,81.1431,-68.2765,13.3,715,1238,1529,11.198,288,5546,814,61.799873,2.647409,63.12444,59.166237,65.43946,62.605804,63.88365,62.207035,64.03587,63.35385,61.734047,61.49914,59.38606,60.14714,62.525787,62.636097,57.701077,63.181084,60.02565,61.03073,64.58644,63.133835,57.696205,54.236073,66.67151,62.706654,62.282833
57,80.489,-69.5135,17.8,763,964,1176,0.913,352,1809,413,39.302975,1.9152111,39.755817,39.54914,40.252377,38.276154,41.7049,40.27981,41.02681,40.316936,39.792126,39.48619,37.02457,36.443424,35.121666,38.059784,38.006058,40.947285,42.183838,41.32767,41.424698,38.413307,38.99768,34.563213,40.06191,39.321163,40.237762
58,80.4817,-69.4458,18.3,736,1027,1318,1.129,37,1897,582,38.414997,2.4888697,38.609695,38.657196,38.697674,41.362904,38.230927,36.966064,39.10148,42.223324,40.385853,39.631413,37.378094,33.480595,40.016487,38.336098,32.70638,37.55012,37.569122,40.196926,40.491535,40.079403,38.435543,32.156376,41.300636,37.041443,39.769676
59,80.4633,-69.7151,15.7,665,943,1131,1.206,8,2105,466,44.5961,2.4743843,44.582573,44.756687,44.306725,46.15397,44.55292,43.20231,45.389156,48.19039,45.93585,47.099976,42.489464,38.70852,47.084072,44.509308,39.851856,43.68186,45.329746,45.639557,47.049583,46.28687,44.522327,38.45312,47.73751,44.38289,45.005295
60,80.4495,-69.7614,18.1,625,1029,1281,1.582,328,2408,656,43.38982,1.8668035,44.07724,42.97716,44.425514,43.71813,45.749737,44.09198,44.61045,43.749977,44.423553,43.960613,40.671364,41.095043,40.722492,42.285534,41.286606,44.98037,45.379433,45.12538,45.97181,42.923927,41.69973,38.159756,45.41444,43.556004,43.68936
61,80.4493,-69.6688,16.8,310,939,1302,5.667,27,3429,992,55.009975,3.401134,56.870594,52.869488,54.69767,57.904762,54.671307,55.503166,55.03503,61.152462,56.19799,58.362846,53.793667,49.575935,59.353485,54.552845,48.753345,56.17696,52.177708,53.80047,57.484318,56.489532,53.55131,46.048542,60.486076,54.134583,55.605362
62,80.4317,-69.6911,13.3,398,1116,1403,4.316,91,5178,1005,65.04005,3.6492949,67.84835,61.657475,67.14003,68.4441,65.32294,66.8178,65.60609,70.10671,66.4733,68.411896,61.087074,60.47063,67.828926,63.7277,59.61704,66.84357,61.392715,61.665134,69.958244,65.90481,61.84796,55.905552,70.6238,64.90614,66.39315
63,80.4109,-69.7655,17.5,686,1065,1397,2.779,19,2368,711,43.874058,2.6984327,43.483265,43.7555,44.124268,46.4813,43.55601,42.98195,44.365013,48.443737,45.422802,46.33703,42.301178,38.670128,46.777927,43.93821,38.62951,43.58057,42.651676,44.753223,45.948456,45.80318,43.55868,36.41771,47.311733,43.031017,44.527477
