,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
298,-64.8793,-63.4909,4.025,18.9,72.420784,18.158321
299,-64.8873,-62.9594,4.293,17.7,72.98634,18.248247
300,-64.8505,-63.0472,3.265,12.2,74.16848,18.224087
301,-64.4156,-63.2238,8.696,8.2,77.76626,19.467442
302,-64.3974,-63.4324,67.189,5.3,138.66815,34.68653
303,-64.4112,-63.3443,12.31,10.6,78.88906,19.765959
304,-64.4516,-63.293,4.888,14.4,73.949104,18.252518
305,-64.4647,-63.3281,8.5,13.6,76.009674,18.72501
306,-64.5244,-63.5122,231.825,12.4,443.70047,86.73399
307,-64.8161,-63.6695,13.121,15.9,77.897095,19.319202
308,-64.5374,-62.8938,0.027,44.3,62.139023,18.34807
309,-64.5342,-62.9161,2.332,19.9,71.04066,17.892433
310,-64.3542,-62.2899,11.503,10.8,78.514015,19.647245
311,-64.3984,-62.3591,4.086,17.9,72.60127,18.176977
312,-64.4298,-62.3868,6.46,18.7,73.58875,18.255856
313,-64.433,-62.5724,12.58,17.1,77.16434,19.100307
314,-64.8704,-63.3898,3.044,18.7,72.01026,18.101507
315,-64.7939,-63.4029,10.108,8.6,78.594055,19.71877
316,-64.5789,-62.9934,0.036,29.6,66.455414,17.631136
317,-64.5621,-62.9886,24.443,14.8,84.68908,22.534441
318,-64.8693,-62.9747,4.415,15.7,73.639565,18.282959
319,-64.8756,-62.9384,0.023,25.6,67.95226,17.669304
320,-64.8714,-63.0213,5.117,11.6,75.23995,18.50667
321,-64.7506,-63.3966,6.272,14.9,74.652794,18.418968
322,-64.7609,-63.5688,7.515,7.6,77.552086,19.326021
323,-64.5537,-62.9183,0.04,31.8,65.73678,17.723822
324,-64.5571,-62.9134,0.031,41.9,62.833378,18.235292
325,-64.5502,-62.9165,0.015,39.9,63.373375,18.123743
326,-64.5563,-62.8893,5.988,21.3,72.60269,18.16076
327,-64.4884,-62.67,2.725,20.6,71.031265,17.971369
328,-64.4607,-62.6009,0.019,38.2,63.832077,18.040892
329,-64.4899,-62.6027,23.732,14.3,84.40845,22.40972
330,-64.6597,-63.4988,0.029,39.9,63.35285,18.10795
331,-64.6715,-63.4215,137.855,14.7,261.7093,56.74871
332,-64.7258,-63.5324,3.608,10.1,74.84459,18.301222
333,-64.734,-63.6213,34.566,15.2,92.09623,25.679932
334,-64.8119,-63.3814,6.864,14.5,75.11592,18.511408
335,-64.7411,-63.3408,13.469,14.0,78.65524,19.616467
336,-64.7811,-63.6191,11.98,16.8,77.009056,19.005035
337,-64.4261,-62.4853,40.967,15.6,97.756874,27.436628
338,-64.7775,-63.2852,6.514,15.2,74.72155,18.432756
339,-64.8007,-63.3377,3.095,12.7,73.859924,18.149248
340,-64.7632,-63.2486,3.217,16.8,72.6355,18.09068
341,-64.7006,-63.2927,18.796,15.4,81.1199,20.733866
342,-64.736,-63.2114,9.866,11.6,77.51688,19.245703
343,-64.7516,-63.1913,9.375,15.7,76.04697,18.709385
344,-64.6763,-63.2261,12.076,20.4,76.02993,18.7248
345,-64.1478,-62.31,65.269,10.2,132.8768,33.858463
346,-64.7166,-62.7427,3.179,15.1,73.19041,18.127913
347,-64.6456,-63.2292,6.31,23.3,72.19504,18.157629
348,-64.611,-62.9831,9.689,17.4,75.66493,18.59611
349,-64.6142,-63.0251,10.509,17.0,76.19173,18.74268
350,-64.5895,-62.9191,4.955,16.1,73.60401,18.276537
351,-64.5807,-62.9306,0.073,36.3,64.419334,17.930292
352,-64.5812,-62.9479,3.284,18.6,72.03808,18.099182
353,-77.4622,169.287,0.433,16.9,124.57328,41.692333
354,-77.4703,169.313,0.574,15.5,125.07314,41.806885
355,-77.478,169.271,0.301,6.3,127.97629,42.677155
356,-77.4816,169.297,0.083,10.1,126.652054,42.27983
357,-77.4787,169.219,0.267,10.7,126.496895,42.216312
358,-77.4751,169.033,0.078,11.0,126.30005,42.175793
359,-77.4898,169.334,0.154,19.6,123.656876,41.49802
360,-77.4861,169.244,0.096,6.2,127.941605,42.676273
361,-77.4892,169.276,0.313,7.3,127.65603,42.5776
362,-77.4975,169.348,0.274,15.9,124.88023,41.78723
363,-77.4916,169.17,0.177,3.8,128.79185,42.89533
364,-77.4943,168.976,0.037,12.7,125.74472,42.02591
365,-77.5067,169.275,0.065,9.4,126.8887,42.352036
366,-77.5012,169.149,0.19,6.6,127.82523,42.641556
367,-77.4944,168.957,0.142,12.5,125.83616,42.04074
368,-77.5077,169.323,0.836,7.6,127.75566,42.571896
369,-77.5048,169.22,0.972,9.0,127.31099,42.41911
370,-77.5032,169.119,1.168,8.0,127.68699,42.52317
371,-77.5322,169.23,0.292,7.6,127.56759,42.55091
372,-77.5368,169.232,0.111,7.7,127.47706,42.53526
373,-77.5278,169.145,12.688,8.9,131.60458,43.373497
374,-77.5371,169.127,0.04,3.6,128.83601,42.915497
375,-77.5918,168.726,283.353,10.4,567.00323,105.24332
376,-77.5788,167.901,356.404,10.0,707.39014,128.44057
377,-77.495,167.076,0.01,10.4,126.04719,42.079365
378,-77.4972,167.091,0.09,14.6,124.73646,41.713978
379,-77.4939,166.971,0.078,14.7,124.67211,41.695415
380,-77.5023,167.109,0.096,23.8,121.8267,41.035862
381,-77.5067,167.076,0.072,25.8,121.18757,40.91337
382,-77.4566,166.712,229.555,9.7,464.83466,87.94507
383,-77.4878,167.207,0.236,30.0,119.95547,40.688175
384,-77.4936,167.128,0.018,8.0,126.851456,42.31916
385,-77.446,167.651,418.056,10.2,826.145,148.22577
386,-77.2646,166.758,261.243,12.6,523.0479,98.247284
387,-77.4807,168.746,0.077,7.9,127.254616,42.458485
388,-77.4927,168.582,0.141,17.1,124.28408,41.630325
389,-77.5002,168.725,0.033,12.3,125.81902,42.042366
390,-77.499,168.59,0.047,21.3,122.92375,41.316353
391,-77.5026,168.648,0.275,17.3,124.28213,41.621
392,-77.4975,168.452,0.172,10.7,126.30918,42.16076
393,-77.5002,168.48,0.08,14.9,124.94872,41.801643
394,-77.4428,168.623,197.785,12.4,403.00876,78.042625
395,-77.7996,166.782,30.397,9.9,141.50206,44.561253
396,-77.8509,166.708,0.348,14.5,124.9918,41.776005
397,-77.5256,167.121,0.039,13.8,125.001045,41.790657
398,-77.5313,167.239,0.118,17.7,123.81239,41.48507
399,-77.5296,167.008,0.029,24.3,121.64439,41.003918
400,-77.5273,167.08,1.697,12.3,126.00245,41.950634
401,-77.5295,166.964,0.026,23.2,121.978584,41.06879
402,-77.5394,167.067,0.09,24.0,121.77692,41.029247
403,-77.5297,166.187,0.018,0.0,129.44115,43.009712
404,-77.5268,166.237,2.125,2.2,129.37659,42.901295
405,-77.5332,166.172,0.079,0.0,129.45808,43.014378
406,-77.5381,166.2,0.021,1.5,128.92052,42.866253
407,-77.5424,166.157,0.013,0.0,129.44121,43.00987
408,-77.5443,166.152,0.012,0.0,129.44101,43.009823
409,-77.5463,166.176,0.103,0.5,129.29906,42.969093
410,-77.5462,166.142,0.012,0.0,129.44002,43.009457
411,-77.552,166.194,0.023,1.1,129.06973,42.90852
412,-77.5677,166.244,0.423,5.9,127.5384,42.478767
413,-77.5733,166.24,0.014,5.0,127.718376,42.543476
414,-77.6098,166.847,327.882,8.4,653.5059,119.20067
415,-77.6665,167.25,91.637,8.0,212.21059,47.446846
416,-73.569,-126.235,2938.121,5.2,5692.0444,1012.17
417,-74.0411,-124.652,2414.521,1.1,4678.5923,831.2384
418,-72.1787,-95.9766,343.571,4.1,661.4114,122.79558
419,-72.0723,-100.268,329.495,2.7,634.68774,117.945114
420,-72.0311,-96.8004,1211.753,2.7,2346.1514,417.66776
421,-71.9637,-100.422,373.455,3.2,719.53467,132.60313
422,-72.2868,-99.1619,5260.723,2.4,10205.024,1811.1364
423,-72.2515,-97.4996,515.825,4.4,994.98486,180.71173
424,-71.9888,-98.5438,1154.987,3.0,2235.6985,398.2966
425,-72.1312,-99.0264,470.984,2.8,908.93616,165.29895
426,-72.0703,-99.5532,259.022,3.0,498.16467,95.06554
427,-72.3303,-96.3179,196.368,2.4,378.23056,75.75912
428,-72.3066,-96.898,373.632,1.8,721.0518,132.44498
429,-72.139,-99.9242,240.779,2.7,463.16058,89.25782
430,-72.2054,-97.9857,402.445,2.3,776.4688,142.15865
431,-70.2828,26.3812,1081.087,0.1,2104.6143,370.74078
432,-67.1113,58.6975,3.355,0.0,100.88156,31.44243
