,RGIId,Farinotti Mean Thickness
371,RGI60-16.00372,
372,RGI60-16.00373,
373,RGI60-16.00374,
374,RGI60-16.00375,
375,RGI60-16.00376,
376,RGI60-16.00377,
377,RGI60-16.00378,
378,RGI60-16.00379,
379,RGI60-16.00380,
380,RGI60-16.00381,
381,RGI60-16.00382,
382,RGI60-16.00383,
383,RGI60-16.00384,
384,RGI60-16.00385,
385,RGI60-16.00386,
386,RGI60-16.00387,
387,RGI60-16.00388,
388,RGI60-16.00389,
389,RGI60-16.00390,
390,RGI60-16.00391,
391,RGI60-16.00392,
392,RGI60-16.00393,
393,RGI60-16.00394,
394,RGI60-16.00395,
395,RGI60-16.00396,
396,RGI60-16.00397,
397,RGI60-16.00398,
398,RGI60-16.00399,
399,RGI60-16.00400,
400,RGI60-16.00401,
401,RGI60-16.00402,
402,RGI60-16.00403,
403,RGI60-16.00404,
404,RGI60-16.00405,
405,RGI60-16.00406,
406,RGI60-16.00407,
407,RGI60-16.00408,
408,RGI60-16.00409,
409,RGI60-16.00410,
410,RGI60-16.00411,
411,RGI60-16.00412,
412,RGI60-16.00413,
413,RGI60-16.00414,
414,RGI60-16.00415,
415,RGI60-16.00416,
416,RGI60-16.00417,
417,RGI60-16.00418,
418,RGI60-16.00419,
419,RGI60-16.00420,
420,RGI60-16.00421,
421,RGI60-16.00422,
422,RGI60-16.00423,
423,RGI60-16.00424,
424,RGI60-16.00425,
425,RGI60-16.00426,
426,RGI60-16.00427,
427,RGI60-16.00428,
428,RGI60-16.00429,
429,RGI60-16.00430,
430,RGI60-16.00431,
431,RGI60-16.00432,
432,RGI60-16.00433,
433,RGI60-16.00434,
434,RGI60-16.00435,
435,RGI60-16.00436,
436,RGI60-16.00437,
437,RGI60-16.00438,
438,RGI60-16.00439,
439,RGI60-16.00440,
440,RGI60-16.00441,
441,RGI60-16.00442,
442,RGI60-16.00443,
443,RGI60-16.00444,
444,RGI60-16.00445,
445,RGI60-16.00446,
446,RGI60-16.00447,
447,RGI60-16.00448,
448,RGI60-16.00449,
449,RGI60-16.00450,
450,RGI60-16.00451,
451,RGI60-16.00452,
452,RGI60-16.00453,
453,RGI60-16.00454,
454,RGI60-16.00455,
455,RGI60-16.00456,
456,RGI60-16.00457,
457,RGI60-16.00458,
458,RGI60-16.00459,
459,RGI60-16.00460,
460,RGI60-16.00461,
461,RGI60-16.00462,
462,RGI60-16.00463,
463,RGI60-16.00464,
464,RGI60-16.00465,
465,RGI60-16.00466,
466,RGI60-16.00467,
467,RGI60-16.00468,
468,RGI60-16.00469,
469,RGI60-16.00470,
470,RGI60-16.00471,
471,RGI60-16.00472,
472,RGI60-16.00473,
473,RGI60-16.00474,
474,RGI60-16.00475,
475,RGI60-16.00476,
476,RGI60-16.00477,
477,RGI60-16.00478,
478,RGI60-16.00479,
479,RGI60-16.00480,
480,RGI60-16.00481,
481,RGI60-16.00482,
482,RGI60-16.00483,
483,RGI60-16.00484,
484,RGI60-16.00485,
485,RGI60-16.00486,
486,RGI60-16.00487,
487,RGI60-16.00488,
488,RGI60-16.00489,
489,RGI60-16.00490,
490,RGI60-16.00491,
491,RGI60-16.00492,
492,RGI60-16.00493,
493,RGI60-16.00494,
494,RGI60-16.00495,
495,RGI60-16.00496,
496,RGI60-16.00497,
497,RGI60-16.00498,
498,RGI60-16.00499,
499,RGI60-16.00500,
500,RGI60-16.00501,
501,RGI60-16.00502,
502,RGI60-16.00503,
503,RGI60-16.00504,
504,RGI60-16.00505,
505,RGI60-16.00506,
506,RGI60-16.00507,
507,RGI60-16.00508,
508,RGI60-16.00509,
509,RGI60-16.00510,
510,RGI60-16.00511,
511,RGI60-16.00512,
512,RGI60-16.00513,
513,RGI60-16.00514,
514,RGI60-16.00515,
515,RGI60-16.00516,
516,RGI60-16.00517,
517,RGI60-16.00518,
518,RGI60-16.00519,
519,RGI60-16.00520,
520,RGI60-16.00521,
521,RGI60-16.00522,
522,RGI60-16.00523,
523,RGI60-16.00524,
524,RGI60-16.00525,
525,RGI60-16.00526,
526,RGI60-16.00527,
527,RGI60-16.00528,
528,RGI60-16.00529,
529,RGI60-16.00530,
530,RGI60-16.00531,
531,RGI60-16.00532,
532,RGI60-16.00533,
533,RGI60-16.00534,
534,RGI60-16.00535,
535,RGI60-16.00536,
536,RGI60-16.00537,
537,RGI60-16.00538,
538,RGI60-16.00539,
539,RGI60-16.00540,
540,RGI60-16.00541,
541,RGI60-16.00542,
542,RGI60-16.00543,
543,RGI60-16.00544,
544,RGI60-16.00545,
545,RGI60-16.00546,
546,RGI60-16.00547,
547,RGI60-16.00548,
548,RGI60-16.00549,
549,RGI60-16.00550,
550,RGI60-16.00551,
551,RGI60-16.00552,
552,RGI60-16.00553,
553,RGI60-16.00554,
554,RGI60-16.00555,
555,RGI60-16.00556,
556,RGI60-16.00557,
557,RGI60-16.00558,
558,RGI60-16.00559,
559,RGI60-16.00560,
560,RGI60-16.00561,
561,RGI60-16.00562,
562,RGI60-16.00563,
563,RGI60-16.00564,
564,RGI60-16.00565,
565,RGI60-16.00566,
566,RGI60-16.00567,
567,RGI60-16.00568,
568,RGI60-16.00569,
569,RGI60-16.00570,
570,RGI60-16.00571,
571,RGI60-16.00572,
572,RGI60-16.00573,
573,RGI60-16.00574,
574,RGI60-16.00575,
575,RGI60-16.00576,
576,RGI60-16.00577,
577,RGI60-16.00578,
578,RGI60-16.00579,
579,RGI60-16.00580,
580,RGI60-16.00581,
581,RGI60-16.00582,
582,RGI60-16.00583,
583,RGI60-16.00584,
584,RGI60-16.00585,
585,RGI60-16.00586,
586,RGI60-16.00587,
587,RGI60-16.00588,
588,RGI60-16.00589,
589,RGI60-16.00590,
590,RGI60-16.00591,
591,RGI60-16.00592,
592,RGI60-16.00593,
593,RGI60-16.00594,
594,RGI60-16.00595,
595,RGI60-16.00596,
596,RGI60-16.00597,
597,RGI60-16.00598,
598,RGI60-16.00599,
599,RGI60-16.00600,
600,RGI60-16.00601,
601,RGI60-16.00602,
602,RGI60-16.00603,
603,RGI60-16.00604,
604,RGI60-16.00605,
605,RGI60-16.00606,
606,RGI60-16.00607,
607,RGI60-16.00608,
608,RGI60-16.00609,
609,RGI60-16.00610,
610,RGI60-16.00611,
611,RGI60-16.00612,
612,RGI60-16.00613,
613,RGI60-16.00614,
614,RGI60-16.00615,
615,RGI60-16.00616,
616,RGI60-16.00617,
617,RGI60-16.00618,
618,RGI60-16.00619,
619,RGI60-16.00620,
620,RGI60-16.00621,
621,RGI60-16.00622,
622,RGI60-16.00623,
623,RGI60-16.00624,
624,RGI60-16.00625,
625,RGI60-16.00626,
626,RGI60-16.00627,
627,RGI60-16.00628,
628,RGI60-16.00629,
629,RGI60-16.00630,
