,Farinotti Mean Thickness,Shapiro-Wilk statistic,Shapiro-Wilk p_value,Farinotti Median Thickness,Farinotti Thickness STD,Skew,RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name,region
50213,30.090607,0.9606218934059143,8.129406983079273e-18,27.96325,5.2623544,0.7438162455227956,RGI60-08.02642,G016932E67978N,20010820.0,-9999999.0,16.932,67.978,8.0,1.0,0.78,1149.0,1389.0,1320.0,14.1,101.0,924.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50214,96.65824,0.975669264793396,5.727914195603493e-32,103.786766,12.739166,0.012218219249169337,RGI60-08.02643,G006427E60067N,20020913.0,-9999999.0,6.427,60.067,8.0,2.0,4.078,1240.0,1654.0,1529.0,8.1,132.0,2813.0,0.0,0.0,0.0,0.0,9.0,0.0,Ruklebreen,08
50215,38.19585,0.9813539981842041,1.408718361679858e-16,38.143917,3.5673082,-0.3026636512147955,RGI60-08.02644,G019927E69514N,20010820.0,-9999999.0,19.927,69.514,8.0,1.0,1.404,723.0,1680.0,1217.0,25.3,48.0,2190.0,0.0,0.0,0.0,0.0,9.0,0.0,Rypdalsbreen,08
50216,25.444258,0.930946946144104,1.9216232016125998e-15,26.121647,1.308435,-0.9545296868937153,RGI60-08.02645,G006865E59962N,20030809.0,-9999999.0,6.865,59.962,8.0,2.0,0.352,1473.0,1595.0,1530.0,11.3,60.0,502.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50217,36.751434,0.9767782688140869,4.040872497723669e-11,35.26893,6.499148,0.42869704518383067,RGI60-08.02646,G007494E61945N,20060916.0,-9999999.0,7.494,61.945,8.0,3.0,0.589,1511.0,1850.0,1745.0,14.1,97.0,918.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50218,35.96023,0.9916747212409973,7.244432254083222e-06,37.37693,2.095701,-0.265816885123048,RGI60-08.02647,G007063E59923N,20030809.0,-9999999.0,7.063,59.923,8.0,2.0,0.683,1513.0,1628.0,1566.0,10.4,35.0,616.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50219,15.6839,0.9523451328277588,5.440739641926484e-06,17.568977,0.72383803,-0.5620937578356159,RGI60-08.02648,G005457E61741N,20060916.0,-9999999.0,5.457,61.741,8.0,2.0,0.118,1165.0,1302.0,1207.0,21.7,171.0,349.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50220,18.634626,0.981928825378418,0.03181342035531998,19.686266,1.520263,-0.29354926664663294,RGI60-08.02649,G005504E61756N,20060916.0,-9999999.0,5.504,61.756,8.0,2.0,0.104,957.0,1097.0,1037.0,18.6,345.0,452.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50221,99.54586,0.967461347579956,3.365368386149939e-31,86.012054,7.0944633,0.5336820990368564,RGI60-08.02650,G005672E61746N,20060916.0,-9999999.0,5.672,61.746,8.0,2.0,2.908,963.0,1345.0,1214.0,8.8,5.0,3327.0,0.0,0.0,0.0,0.0,9.0,1.0,Hansebreen,08
50222,15.348363,0.944871187210083,1.1709978480212158e-06,16.962553,0.6137388,-0.7247623108713845,RGI60-08.02651,G005493E61757N,20060916.0,-9999999.0,5.493,61.757,8.0,2.0,0.121,942.0,1070.0,1007.0,24.2,358.0,293.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50223,11.257502,0.9709566831588745,0.3269936740398407,11.683718,0.595588,-0.2797235833693766,RGI60-08.02652,G005838E61751N,20060916.0,-9999999.0,5.838,61.751,8.0,2.0,0.027,1127.0,1211.0,1176.0,27.8,121.0,152.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50224,25.937214,0.9567071795463562,6.311342559683908e-08,27.36723,1.8748028,-0.4615519189757546,RGI60-08.02653,G005435E61745N,20060916.0,-9999999.0,5.435,61.745,8.0,2.0,0.192,1018.0,1339.0,1176.0,17.3,332.0,1095.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50225,33.80571,0.7578004598617554,3.208603298723607e-33,30.83368,10.476771,2.532278134876872,RGI60-08.02654,G005470E61744N,20060916.0,-9999999.0,5.47,61.744,8.0,2.0,0.519,980.0,1303.0,1189.0,24.1,337.0,503.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50226,21.720148,0.9520500898361206,1.33213697850465e-08,23.811493,1.1757116,-0.6610599621508076,RGI60-08.02655,G005735E61803N,20060916.0,-9999999.0,5.735,61.803,8.0,2.0,0.195,1111.0,1292.0,1200.0,21.7,323.0,600.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50227,52.24844,0.952858567237854,2.005003981020006e-24,52.41915,9.120257,0.5664893119212707,RGI60-08.02656,G005805E61752N,20060916.0,-9999999.0,5.805,61.752,8.0,2.0,1.207,1051.0,1423.0,1245.0,13.0,31.0,1461.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50228,29.797842,0.9883740544319153,0.0036596746649593115,30.700283,2.090922,-0.1860305298902038,RGI60-08.02657,G005582E61733N,20060916.0,-9999999.0,5.582,61.733,8.0,2.0,0.238,1246.0,1357.0,1299.0,7.8,168.0,916.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50229,22.058998,0.9339523315429688,3.0371748493962514e-07,23.758942,1.4315612,-0.6203950387201539,RGI60-08.02658,G005712E61801N,20060916.0,-9999999.0,5.712,61.801,8.0,2.0,0.113,1159.0,1350.0,1234.0,14.2,46.0,752.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
