,CenLon,CenLat,Area,thickness,Slope,Zmin,Zmed,Zmax,Aspect,Lmax
190,11.6737,47.0543,0.389,25.0,20.6,2782,2947,3111,141,775
191,10.9827,46.7845,8.938,59.0,11.1,2467,3000,3357,344,6175
192,13.6135,47.4845,2.292,55.0,18.6,2203,2526,2855,49,1853
193,10.7584,46.8003,8.036,67.0,16.2,2430,3051,3674,71,7178
194,13.3338,47.0199,2.331,53.0,18.2,2525,2905,3296,71,2310
195,10.8054,46.7801,3.085,36.0,13.6,2669,2932,3396,339,3394
196,11.8176,46.9981,2.35,28.0,22.7,2201,2792,3214,14,2569
197,10.1603,46.8577,3.821,52.0,18.0,2426,2813,3107,15,2517
198,10.7907,46.8424,3.965,79.0,11.6,2773,3185,3460,123,4202
199,11.1193,47.0827,3.25,79.0,12.8,2667,3009,3257,53,3184
200,10.894,46.7767,4.349,52.0,18.3,2478,3133,3547,321,4456
201,10.8674,46.7688,1.894,31.0,16.6,2785,3114,3516,335,2250
202,12.4115,47.0571,0.192,22.0,22.0,2771,2934,3080,82,863
203,10.1054,46.8515,2.354,44.0,17.7,2403,2910,3109,13,2548
204,12.6507,47.1087,1.367,50.0,23.4,2273,2569,3019,333,2678
205,10.7844,46.8815,0.465,28.0,17.8,2898,2993,3113,270,865
206,12.6967,47.0991,17.774,82.0,15.9,2086,2984,3487,112,8667
207,12.3582,47.0953,3.24,43.0,17.6,2625,3198,3621,203,3026
208,10.9316,46.9326,1.64,30.0,18.9,2657,2969,3286,13,2043
209,11.0473,46.8138,2.574,32.0,23.8,2479,2983,3394,1,2336
210,11.1127,46.9734,0.417,26.0,12.4,2949,3078,3155,124,858
211,13.6304,47.4708,0.908,45.0,14.0,2450,2601,2681,33,816
212,12.3829,47.1066,8.271,58.0,18.1,2158,3074,3576,66,5350
213,12.6823,47.1953,0.912,19.0,17.7,2494,2771,2929,27,1230
214,11.1096,47.0458,1.397,40.0,16.1,2760,3103,3430,154,2166
215,11.8574,47.0152,3.584,32.0,22.1,2343,2903,3190,299,2007
216,10.7988,46.89,1.738,35.0,25.0,2609,3061,3502,356,2214
217,12.5958,47.144,0.087,35.0,16.4,2740,2860,2897,317,446
218,11.1528,46.974,2.534,49.0,17.8,2510,3163,3404,13,2788
219,11.0795,46.9982,3.645,42.0,16.3,2484,2949,3243,351,3082
220,10.8546,46.8956,5.361,62.0,17.3,2247,3228,3715,330,5151
221,10.9269,46.9185,0.945,42.0,16.0,2872,3078,3268,102,1326
222,10.8533,46.7869,0.027,10.0,30.0,3040,3095,3182,59,246
223,12.2454,47.0574,4.254,46.0,19.4,2458,3006,3398,228,3722
224,12.3453,47.1322,2.738,94.0,15.2,2162,2759,3440,347,5390
225,10.1309,46.8529,1.677,20.0,16.2,2526,2801,3062,323,1899
226,12.3625,47.1366,0.027,39.0,17.1,2924,2972,2994,162,168
227,10.7805,46.9097,0.34,28.0,27.1,2934,3065,3333,112,800
228,11.7914,46.9997,2.944,30.0,23.3,2443,2853,3312,20,2150
229,10.7127,46.8548,2.485,31.0,19.5,2631,2931,3475,358,2558
230,11.1012,46.979,0.04,27.0,26.9,3000,3037,3092,227,182
231,10.818,46.8762,8.559,42.0,14.7,2810,3142,3559,165,3087
232,-68.1024,-16.2954,0.257,22.0,21.0,5084,5194,5307,307,655
233,-75.3715,4.80506,3.812,22.0,15.7,4625,4795,4940,97,1638
234,-68.1437,-16.26,1.826,65.0,40.0,4854,5319,5946,62,1926
235,9.8243,46.419,0.455,17.0,21.4,2883,3184,3373,49,363
236,9.82952,46.4136,0.152,23.0,19.4,2919,3052,3213,52,927
237,8.41907,46.5502,0.449,26.0,18.7,2632,2768,2934,336,1002
238,6.94111,46.1725,0.024,19.0,26.8,2875,2954,2991,332,180
239,9.25816,46.924,0.286,13.0,24.3,2505,2593,2840,89,657
240,9.25535,46.9171,0.553,19.0,20.8,2576,2759,2999,103,1017
241,7.21308,46.327,0.347,29.0,13.4,2703,2815,2864,340,664
242,8.61212,46.6049,0.092,16.0,26.5,2654,2803,2909,343,475
243,7.32145,46.0868,0.373,25.0,20.1,2806,2979,3142,42,1118
244,7.22536,46.3202,2.89,69.0,9.3,2497,2772,2971,84,2673
245,-69.6091,-28.3814,5.209,67.0,11.6,5068,5406,5753,79,3782
246,-69.7318,-28.5387,3.14,39.0,16.0,4784,5234,5597,190,3349
247,-69.9276,-30.1454,1.189,28.0,29.3,4664,5187,5525,148,1596
248,-70.1014,-33.0259,0.022,59.0,41.3,4645,4782,4898,64,280
249,-69.822,-33.4036,7.233,122.0,10.0,4255,5492,5885,298,8109
250,-69.9116,-33.744,12.58,46.0,21.1,3523,5071,6078,276,8556
251,-70.3196,-34.7793,0.392,34.0,26.2,3863,4188,4408,129,1024
252,-70.2865,-34.7923,3.151,31.0,19.6,3221,3828,4396,190,4399
253,-70.3286,-34.8129,5.727,59.0,17.3,3303,4063,4424,145,3646
254,-71.4369,-37.9377,0.901,27.0,27.1,1872,2319,2975,142,2130
255,-71.5317,-38.983,5.273,324.0,5.9,1833,2098,2265,232,3177
256,-71.9122,-39.4267,13.098,47.0,11.1,1584,2000,2835,83,5447
257,-72.4987,-41.111,2.555,17.0,32.6,1589,2067,2653,189,1713
258,-71.9213,-41.1592,6.195,51.0,21.1,1264,2269,3249,294,5393
259,-70.2056,-33.2223,5.374,38.0,21.1,3469,4970,5364,88,4739
260,-70.2646,-33.1924,0.176,23.0,23.1,3858,4159,4307,172,1022
261,-70.2819,-33.1827,0.164,16.0,31.1,4142,4297,4446,123,712
262,-70.2183,-33.2464,1.643,20.0,29.5,4296,4835,5358,210,2296
263,-69.9087,-33.5277,0.179,55.0,22.9,4400,4502,4729,5,902
