,RGIId,Mean Thickness,Median Thickness,Thickness Std Dev,Weighted Mean Thickness,Model Variance,Weighted Volume (km3),Lower Bound,Upper Bound,Shapiro-Wilk statistic,Shapiro-Wilk p_value,IQR,Total estimates,region,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Farinotti Mean Thickness,Farinotti Shapiro-Wilk statistic,Farinotti Shapiro-Wilk p_value,Farinotti Median Thickness,Farinotti Thickness STD,Farinotti Skew,Farinotti Volume (km3),Thickness,Residual,Percent Residual,Farinotti Residual,Farinotti PercentResidual
272,RGI60-11.00300,32.326267340372674,31.694645,5.814571841627935,32.289069112459245,33.80084588885585,0.006748415444503982,5.249171156372675,4.5711371076273295,0.9459850788116456,4.352409533220232e-36,6.657026000000002,4025.0,11,47.0385,13.0049,14.2,2526,2616,2729,0.209,233,673,22.995138,0.984040141105652,0.0007732718950137,24.414291,1.6259382,-0.1581804745639393,0.004805983842,21.0,11.289069112459245,0.5375747196409164,1.9951380000000007,0.09500657142857147
273,RGI60-11.00303,36.65726789291926,36.189533,5.371816123357495,36.63320030068782,28.849239169135423,0.08539198990090331,5.039737396919257,5.047209483080742,0.9796108603477478,1.2738891928968921e-23,6.660849999999996,4025.0,11,47.0199,13.3338,18.2,2525,2905,3296,2.331,71,2310,50.52315,0.9273194670677184,3.240176196208952e-39,45.727463,9.891403,0.8317149095837887,0.11776946265,53.0,-16.366799699312182,-0.3088075414964563,-2.476849999999999,-0.046733018867924504
274,RGI60-11.00306,25.579964651304348,24.605566,6.748269045440216,25.540407052019653,45.52782103881191,0.0048782177469357535,5.540377683304349,4.347724724695652,0.8555728197097778,0.0,6.535979000000001,4025.0,11,47.0348,13.0165,18.5,2776,2866,3015,0.191,248,727,18.472368,0.9631763100624084,5.273097940516891e-07,19.474945,1.042994,-0.3895842207340484,0.003528222288,13.0,12.540407052019653,0.9646466963092041,5.4723679999999995,0.42095138461538456
275,RGI60-11.00306,25.579964651304348,24.605566,6.748269045440216,25.540407052019653,45.52782103881191,0.0048782177469357535,5.540377683304349,4.347724724695652,0.8555728197097778,0.0,6.535979000000001,4025.0,11,47.0348,13.0165,18.5,2776,2866,3015,0.191,248,727,18.472368,0.9631763100624084,5.273097940516891e-07,19.474945,1.042994,-0.3895842207340484,0.003528222288,8.0,17.540407052019653,2.1925508815024566,10.472368,1.309046
276,RGI60-11.00311,42.35847422708075,42.303024,4.707081611383695,42.34020385619728,22.15111254658771,0.15623535222936796,4.706076467080749,5.0378836929192445,0.997717559337616,1.1040352546842769e-05,6.331180000000003,4025.0,11,47.0654,11.6636,17.7,2597,2973,3266,3.69,0,2746,53.39348,0.8316962718963623,0.0,49.65831,13.229477,3.0599052500055177,0.1970219412,20.0,22.340203856197277,1.117010192809864,33.39348,1.6696739999999999
277,RGI60-11.00311,42.35847422708075,42.303024,4.707081611383695,42.34020385619728,22.15111254658771,0.15623535222936796,4.706076467080749,5.0378836929192445,0.997717559337616,1.1040352546842769e-05,6.331180000000003,4025.0,11,47.0654,11.6636,17.7,2597,2973,3266,3.69,0,2746,53.39348,0.8316962718963623,0.0,49.65831,13.229477,3.0599052500055177,0.1970219412,20.0,22.340203856197277,1.117010192809864,33.39348,1.6696739999999999
278,RGI60-11.00311,42.35847422708075,42.303024,4.707081611383695,42.34020385619728,22.15111254658771,0.15623535222936796,4.706076467080749,5.0378836929192445,0.997717559337616,1.1040352546842769e-05,6.331180000000003,4025.0,11,47.0654,11.6636,17.7,2597,2973,3266,3.69,0,2746,53.39348,0.8316962718963623,0.0,49.65831,13.229477,3.0599052500055177,0.1970219412,34.0,8.340203856197277,0.24530011341756697,19.393479999999997,0.5703964705882352
279,RGI60-11.00319,21.787257347130435,20.574116,7.1861667790555215,21.750346422820428,51.6281629160344,0.0011310180139866622,5.509752227130434,3.8074527648695664,0.7804437875747681,0.0,6.064596000000002,4025.0,11,47.051,12.4099,20.9,3053,3099,3150,0.052,122,280,14.220154,0.9263397455215454,9.978265734389424e-05,14.187368,1.1599723,-0.4886132292204803,0.0007394480079999999,22.0,-0.24965357717957204,-0.011347889871798729,-7.779845999999999,-0.3536293636363636
280,RGI60-11.00325,47.701836821366456,47.937428,4.52135812643513,47.68619499830711,20.43760038094497,0.08206794159208654,4.494381741366453,4.372629938633544,0.9964746236801147,3.81609339683564e-08,5.584084000000004,4025.0,11,47.0723,11.0745,13.9,2653,2867,3093,1.721,4,2250,47.496834,0.9881488084793092,2.11285033387262e-14,50.558094,5.671527,-0.1541197294461212,0.081742051314,41.0,6.6861949983071085,0.16307792678797825,6.496834,0.15845936585365852
281,RGI60-11.00349,23.14437999697143,22.13807,8.012417233611195,23.0826221331863,64.18287990561244,0.00025390884346504933,6.863713068971428,6.00098545902857,0.9072083234786988,3.22298646794708e-44,8.536375,4025.0,11,47.0704,11.1169,43.3,3027,3086,3140,0.011,63,125,8.468573,0.9523642063140868,0.4633013010025024,8.8440275,0.6776904,-0.4957878258069089,9.315430299999999e-05,79.0,-55.917377866813695,-0.7078149097065025,-70.53142700000001,-0.8928028734177216
282,RGI60-11.00353,23.889658051180124,22.70386,7.125455574015405,23.85014155527245,50.7595029466741,0.009277705065000984,5.818327635180125,4.458096780819876,0.8382434248924255,0.0,6.595253,4025.0,11,47.0543,11.6737,20.6,2782,2947,3111,0.389,141,775,43.948147,0.3250141739845276,8.239634970229924e-43,37.155304,43.967228,5.713200571730709,0.017095829183,25.0,-1.149858444727549,-0.04599433778910196,18.948147,0.7579258799999999
283,RGI60-11.00376,48.12869970708075,48.297123,4.6149283215337205,48.11202881016329,21.29227209279146,0.15294813958750908,4.58283634708075,4.49431550891925,0.9974499344825744,2.92605204776919e-06,5.8332770000000025,4025.0,11,47.0445,11.1271,15.8,2560,3051,3283,3.179,17,3411,55.550884,0.9480597972869872,4.2556299309788585e-39,50.396217,10.014042,0.4287084886586352,0.176596260236,51.0,-2.887971189836712,-0.05662688607522964,4.5508840000000035,0.0892330196078432
284,RGI60-11.00392,35.51470562385093,34.88213,5.590483167849094,35.48901186720252,31.24573720477422,0.04957814957848192,5.201598127850929,5.0357943921490715,0.9685527086257936,8.00806906998249e-29,6.822471999999998,4025.0,11,47.0458,11.1096,16.1,2760,3103,3430,1.397,154,2166,41.91864,0.972975730895996,4.303422646443612e-20,46.047016,6.1838694,0.0590488697059079,0.05856034008,40.0,-4.510988132797479,-0.11277470331993697,1.9186400000000035,0.047966000000000085
285,RGI60-11.00408,41.808578540124216,41.749207,4.964933891746898,41.78664395392491,24.64444418456,0.04901573335795392,4.924461796124213,5.135980579875785,0.9977351427078248,1.2073835023329592e-05,6.785440000000001,4025.0,11,47.0592,9.69511,14.3,2480,2623,2761,1.173,45,1643,38.85113,0.977832019329071,1.9242073932555542e-16,36.867043,3.495002,0.5225923844218215,0.04557237549,20.0,21.78664395392491,1.0893321976962453,18.851129999999998,0.9425564999999999
286,RGI60-11.00408,41.808578540124216,41.749207,4.964933891746898,41.78664395392491,24.64444418456,0.04901573335795392,4.924461796124213,5.135980579875785,0.9977351427078248,1.2073835023329592e-05,6.785440000000001,4025.0,11,47.0592,9.69511,14.3,2480,2623,2761,1.173,45,1643,38.85113,0.977832019329071,1.9242073932555542e-16,36.867043,3.495002,0.5225923844218215,0.04557237549,19.0,22.78664395392491,1.199297050206574,19.851129999999998,1.0447963157894735
287,RGI60-11.00415,30.51629123453416,29.710356,6.651426873116005,30.4726946048962,44.23048777649711,0.10921413746394798,6.053007874534163,5.406639485465835,0.9457825422286988,3.850114210786879e-36,7.441800999999998,4025.0,11,47.0152,11.8574,22.1,2343,2903,3190,3.584,299,2007,45.27956,0.9841601252555848,7.689849630682895e-25,45.01477,4.830489,0.4536775159562904,0.16228194304,32.0,-1.5273053951037987,-0.04772829359699371,13.279559999999996,0.4149862499999999
288,RGI60-11.00450,26.41775894959006,25.405998,6.801192661734235,26.376316085779116,46.244729393053184,0.015614779122781237,5.777993181590059,4.767473578409938,0.8820624351501465,0.0,6.839644,4025.0,11,47.0276,11.1117,22.4,2746,3038,3195,0.592,303,1196,38.89253,0.9802924394607544,4.833083933064586e-10,43.526314,3.9893668,-0.0102503000992741,0.02302437776,42.0,-15.623683914220884,-0.37199247414811626,-3.1074699999999993,-0.07398738095238093
289,RGI60-11.00457,28.622249891925467,27.802143,6.4046862882043065,28.58385316855794,41.00981514436187,0.01334865942971656,5.490078643925468,4.791862652074531,0.909304976463318,7.42688186092153e-44,6.591061999999997,4025.0,11,47.0229,11.1012,19.0,2748,2960,3082,0.467,336,791,44.908237,0.9829444885253906,1.0967337971123925e-07,45.508396,5.50577,-0.2911256297416697,0.020972146679,73.0,-44.41614683144206,-0.6084403675540009,-28.091763,-0.3848186712328767
290,RGI60-11.00459,35.28920418708075,34.761032,6.024411889249547,35.25453916201193,36.28452158310488,0.08284816703072805,5.693916251080751,5.582472940919253,0.9808680415153505,6.651098337729674e-23,7.335770999999998,4025.0,11,46.9981,11.8176,22.7,2201,2792,3214,2.35,14,2569,41.06952,0.9629823565483092,5.806853319728726e-30,42.718575,3.4219754,-0.465188599829655,0.096513372,47.0,-11.74546083798807,-0.24990342208485256,-5.930480000000003,-0.12618042553191494
291,RGI60-11.00459,35.28920418708075,34.761032,6.024411889249547,35.25453916201193,36.28452158310488,0.08284816703072805,5.693916251080751,5.582472940919253,0.9808680415153505,6.651098337729674e-23,7.335770999999998,4025.0,11,46.9981,11.8176,22.7,2201,2792,3214,2.35,14,2569,41.06952,0.9629823565483092,5.806853319728726e-30,42.718575,3.4219754,-0.465188599829655,0.096513372,28.0,7.25453916201193,0.25909068435756893,13.069519999999997,0.4667685714285713
292,RGI60-11.00469,31.79627553900621,31.15342,6.205613923955603,31.761546384408184,38.50007655973248,0.0935059925556977,5.616417259006209,5.147389484993788,0.9498998522758484,5.017134441201186e-35,7.006640000000001,4025.0,11,46.9997,11.7914,23.3,2443,2853,3312,2.944,20,2150,38.573383,0.9934309124946594,6.411468849321783e-14,42.6621,3.6704319,0.0858869071162264,0.113560039552,30.0,1.7615463844081845,0.058718212813606147,8.573383,0.28577943333333333
293,RGI60-11.00487,39.346098324472045,39.16369,5.420305514449765,39.3118985055233,29.372412562677653,0.14329187005263244,5.452269452472045,5.328161771527952,0.9946827292442322,5.7205823411621275e-11,7.0672190000000015,4025.0,11,46.9982,11.0795,16.3,2484,2949,3243,3.645,351,3082,52.934967,0.9704510569572448,4.968715438589959e-33,55.428814,7.9638715,0.1286223388116964,0.192947954715,48.0,-8.688101494476697,-0.18100211446826453,4.934967,0.1028118125
294,RGI60-11.00487,39.346098324472045,39.16369,5.420305514449765,39.3118985055233,29.372412562677653,0.14329187005263244,5.452269452472045,5.328161771527952,0.9946827292442322,5.7205823411621275e-11,7.0672190000000015,4025.0,11,46.9982,11.0795,16.3,2484,2949,3243,3.645,351,3082,52.934967,0.9704510569572448,4.968715438589959e-33,55.428814,7.9638715,0.1286223388116964,0.192947954715,48.0,-8.688101494476697,-0.18100211446826453,4.934967,0.1028118125
295,RGI60-11.00487,39.346098324472045,39.16369,5.420305514449765,39.3118985055233,29.372412562677653,0.14329187005263244,5.452269452472045,5.328161771527952,0.9946827292442322,5.7205823411621275e-11,7.0672190000000015,4025.0,11,46.9982,11.0795,16.3,2484,2949,3243,3.645,351,3082,52.934967,0.9704510569572448,4.968715438589959e-33,55.428814,7.9638715,0.1286223388116964,0.192947954715,42.0,-2.6881014944766974,-0.06400241653515946,10.934967,0.26035635714285715
296,RGI60-11.00518,36.54621844397515,36.137222,5.24953882758069,36.52317675485416,27.55081127919593,0.07783088966459421,4.93425956397515,4.8037708680248485,0.9798552989959716,1.7459795306384237e-23,6.488315,4025.0,11,46.9877,11.1052,18.2,2686,2975,3246,2.131,40,2358,47.666977,0.9847807884216307,9.128136582869673e-19,51.431515,4.278075,-0.2762869599607072,0.101578327987,34.0,2.5231767548541626,0.07421108102512243,13.666977000000003,0.401969911764706
297,RGI60-11.00518,36.54621844397515,36.137222,5.24953882758069,36.52317675485416,27.55081127919593,0.07783088966459421,4.93425956397515,4.8037708680248485,0.9798552989959716,1.7459795306384237e-23,6.488315,4025.0,11,46.9877,11.1052,18.2,2686,2975,3246,2.131,40,2358,47.666977,0.9847807884216307,9.128136582869673e-19,51.431515,4.278075,-0.2762869599607072,0.101578327987,42.0,-5.476823245145837,-0.13040055345585327,5.666977000000003,0.13492802380952387
298,RGI60-11.00541,43.48288302186336,43.430553,4.780478801737654,43.46344535850222,22.847299815459632,0.1101363705384446,4.763086045863361,5.24880008213664,0.998310923576355,0.000271842960501,6.560665,4025.0,11,46.974,11.1528,17.8,2510,3163,3404,2.534,13,2788,51.961475,0.9853513836860656,4.394344336047394e-20,57.788742,6.716517,0.070397553580382,0.13167037765,49.0,-5.53655464149778,-0.1129909110509751,2.961475,0.06043826530612245
299,RGI60-11.00548,36.94258670658385,36.68783,5.3972688085155385,36.90913986934043,29.123273197439,0.05004879366282562,5.235677354583853,4.966003069416146,0.98682302236557,6.177341904551735e-19,6.649287000000001,4025.0,11,46.9782,11.1339,15.2,2627,2886,3183,1.356,352,2054,38.799297,0.9863511323928832,1.5324235478654524e-13,40.499146,6.069765,0.2317768718101958,0.052611846732000006,37.0,-0.09086013065957133,-0.0024556792070154414,1.7992970000000028,0.04862964864864872
300,RGI60-11.00562,35.34080436,34.796223,6.048598557552701,35.3059278267851,36.576454934152736,0.059631712099440036,5.760903639999999,5.537036592,0.9752373695373536,6.92112785133411e-26,7.382601000000001,4025.0,11,46.9641,11.7307,18.1,2497,2995,3318,1.689,238,3185,43.19895,0.9871623516082764,6.771028067387424e-15,46.754528,4.9207377,0.0142979993115236,0.07296302655000002,28.0,7.305927826785101,0.26092599381375364,15.198950000000004,0.542819642857143
301,RGI60-11.00584,25.775100092919253,24.802668,6.763891324182247,25.736271296797334,45.738859329609895,0.0062539139251217525,5.5751130049192525,4.440073123080747,0.86221843957901,0.0,6.670804,4025.0,11,46.9762,11.1036,18.9,2871,3044,3129,0.243,273,834,31.963175,0.9401108622550964,2.4232152742720278e-11,35.551735,2.5148342,-0.7398383246558441,0.007767051524999999,27.0,-1.2637287032026663,-0.04680476678528394,4.963175,0.1838212962962963
302,RGI60-11.00588,37.74578420695652,37.391083,4.803143535906263,37.72427611664801,23.06445610283451,0.015731023140642217,4.493117534956518,4.381172665043479,0.9824957251548768,6.395339029966457e-22,5.8942830000000015,4025.0,11,46.9734,11.1127,12.4,2949,3078,3155,0.417,124,858,36.898155,0.9785543084144592,2.4350585547949777e-08,41.144005,2.6601813,-0.4284538165725534,0.015386530635,39.0,-1.2757238833519935,-0.03271086880389727,-2.1018449999999973,-0.05389346153846147
303,RGI60-11.00590,32.7644123152795,32.01554,5.880229342466033,32.73453143866951,34.56850653686311,0.04108183695553023,5.2811160432795,4.944650140720498,0.9491764307022096,3.1580528172054255e-35,6.803820000000002,4025.0,11,46.9675,11.2537,18.3,2610,2885,3145,1.255,87,1969,27.54364,0.893747091293335,3.5086982476780905e-35,23.344276,6.257926,1.069511191467545,0.0345672682,11.0,21.734531438669507,1.9758664944245006,16.54364,1.5039672727272728
304,RGI60-11.00592,27.60798941018633,26.759068,6.24757688227864,27.57301063668972,39.02251945478994,0.0009926283829208298,5.202931770186332,4.08310804581366,0.867761492729187,0.0,6.187342000000001,4025.0,11,46.9742,11.1218,14.5,3003,3019,3057,0.036,221,177,14.086332,0.8804099559783936,3.615430978243239e-05,15.840982,1.5410721,-0.8810895041470205,0.000507107952,26.0,1.5730106366897196,0.06050040910345075,-11.913668,-0.45821799999999996
305,RGI60-11.00597,53.05471158459628,52.858013,4.997749855161087,53.041285975914384,24.971298023802472,0.335804381513514,4.767823992596277,4.968703319403723,0.9952298402786256,3.5545513754620117e-10,6.981612999999996,4025.0,11,46.9514,11.1832,13.9,2548,3000,3429,6.331,96,4492,68.65529,0.9834768772125244,1.2189664829043972e-32,62.934452,9.089177,0.2527291837625312,0.43465664099,68.0,-14.958714024085616,-0.21998108858949436,0.6552899999999937,0.009636617647058731
306,RGI60-11.00603,31.601156578012425,30.868542,6.040013628683006,31.56622756357523,36.47270084222063,0.026547197380966767,5.447374514012424,4.858364837987576,0.9379499554634094,4.347183766145521e-38,6.919426999999999,4025.0,11,46.9656,11.2247,15.8,2650,2783,2980,0.841,175,1396,25.580875,0.9868483543395996,1.1934987442785427e-09,28.318815,2.5896053,0.0030945595458748,0.021513515875,12.0,19.56622756357523,1.6305189636312691,13.580874999999999,1.1317395833333332
307,RGI60-11.00638,22.70652616047205,21.536362,7.429159189461751,22.655835223543704,55.178693863292594,0.0018577784883305837,6.012707304472048,4.786642695527952,0.8426038026809692,0.0,7.00544,4025.0,11,46.9603,9.38896,23.7,2589,2687,2778,0.082,56,285,15.334063,0.9795585870742798,0.0413208901882171,16.240656,1.098449,-0.2286020451800025,0.001257393166,15.0,7.655835223543704,0.5103890149029137,0.33406300000000044,0.022270866666666698
308,RGI60-11.00638,22.70652616047205,21.536362,7.429159189461751,22.655835223543704,55.178693863292594,0.0018577784883305837,6.012707304472048,4.786642695527952,0.8426038026809692,0.0,7.00544,4025.0,11,46.9603,9.38896,23.7,2589,2687,2778,0.082,56,285,15.334063,0.9795585870742798,0.0413208901882171,16.240656,1.098449,-0.2286020451800025,0.001257393166,17.0,5.655835223543704,0.3326961896202179,-1.6659369999999996,-0.09799629411764703
