,GlaThiDa_index,thickness,CenLon,CenLat,Area,Zmin,Zmed,Zmax,Slope,Aspect,Lmax
218,459,54.0,11.1271,47.0445,3.179,2560.0,3051.0,3283.0,15.8,17.0,3411.0
219,460,43.0,11.0745,47.0723,1.721,2653.0,2867.0,3093.0,13.9,4.0,2250.0
220,461,55.0,11.1117,47.0276,0.592,2746.0,3038.0,3195.0,22.4,303.0,1196.0
221,462,40.0,11.1012,47.0229,0.467,2748.0,2960.0,3082.0,19.0,336.0,791.0
222,464,69.0,10.8648,46.9209,1.369,2870.0,3082.0,3376.0,16.9,56.0,1925.0
223,466,61.0,11.1339,46.9782,1.356,2627.0,2886.0,3183.0,15.2,352.0,2054.0
224,467,46.0,11.0731,46.8283,0.112,2813.0,2977.0,3094.0,26.7,283.0,574.0
225,468,52.0,11.1127,46.9734,0.417,2949.0,3078.0,3155.0,12.4,124.0,858.0
226,471,48.0,11.0289,47.1039,0.28,2912.0,3028.0,3236.0,19.9,86.0,909.0
227,472,38.0,10.4793,47.1715,0.029,2756.0,2792.0,2833.0,32.7,103.0,146.0
228,473,58.0,11.6737,47.0543,0.389,2782.0,2947.0,3111.0,20.6,141.0,775.0
229,477,86.0,13.3338,47.0199,2.331,2525.0,2905.0,3296.0,18.2,71.0,2310.0
230,478,55.0,10.8054,46.7801,3.085,2669.0,2932.0,3396.0,13.6,339.0,3394.0
231,480,58.0,10.1603,46.8577,3.821,2426.0,2813.0,3107.0,18.0,15.0,2517.0
232,481,44.0,10.9162,46.9284,1.266,2653.0,2943.0,3235.0,20.8,331.0,1881.0
233,484,65.0,11.1193,47.0827,3.25,2667.0,3009.0,3257.0,12.8,53.0,3184.0
234,485,56.0,11.1169,47.0704,0.011,3027.0,3086.0,3140.0,43.3,63.0,125.0
235,486,44.0,10.894,46.7767,4.349,2478.0,3133.0,3547.0,18.3,321.0,4456.0
236,488,58.0,10.8674,46.7688,1.894,2785.0,3114.0,3516.0,16.6,335.0,2250.0
237,489,90.0,12.4099,47.051,0.052,3053.0,3099.0,3150.0,20.9,122.0,280.0
238,491,43.0,10.1054,46.8515,2.354,2403.0,2910.0,3109.0,17.7,13.0,2548.0
239,492,63.0,12.6507,47.1087,1.367,2273.0,2569.0,3019.0,23.4,333.0,2678.0
240,493,68.0,10.7844,46.8815,0.465,2898.0,2993.0,3113.0,17.8,270.0,865.0
241,495,82.0,12.3582,47.0953,3.24,2625.0,3198.0,3621.0,17.6,203.0,3026.0
242,496,50.0,10.9316,46.9326,1.64,2657.0,2969.0,3286.0,18.9,13.0,2043.0
243,497,42.0,11.0473,46.8138,2.574,2479.0,2983.0,3394.0,23.8,1.0,2336.0
244,499,48.0,11.1218,46.9742,0.036,3003.0,3019.0,3057.0,14.5,221.0,177.0
245,503,56.0,11.1096,47.0458,1.397,2760.0,3103.0,3430.0,16.1,154.0,2166.0
246,504,53.0,11.8574,47.0152,3.584,2343.0,2903.0,3190.0,22.1,299.0,2007.0
247,506,69.0,10.7988,46.89,1.738,2609.0,3061.0,3502.0,25.0,356.0,2214.0
248,507,62.0,12.5964,47.1316,1.188,2502.0,2789.0,2993.0,19.3,72.0,1304.0
249,508,47.0,11.1528,46.974,2.534,2510.0,3163.0,3404.0,17.8,13.0,2788.0
250,510,49.0,10.8546,46.8956,5.361,2247.0,3228.0,3715.0,17.3,330.0,5151.0
251,511,64.0,10.9269,46.9185,0.945,2872.0,3078.0,3268.0,16.0,102.0,1326.0
252,512,63.0,10.8466,46.7804,0.109,3032.0,3094.0,3155.0,16.8,61.0,510.0
253,513,51.0,12.2454,47.0574,4.254,2458.0,3006.0,3398.0,19.4,228.0,3722.0
254,516,57.0,12.3693,47.1261,2.188,2285.0,2695.0,3356.0,22.0,45.0,3075.0
255,517,61.0,10.7805,46.9097,0.34,2934.0,3065.0,3333.0,27.1,112.0,800.0
256,518,69.0,11.7914,46.9997,2.944,2443.0,2853.0,3312.0,23.3,20.0,2150.0
257,519,60.0,10.7127,46.8548,2.485,2631.0,2931.0,3475.0,19.5,358.0,2558.0
258,520,68.0,11.1036,46.9762,0.243,2871.0,3044.0,3129.0,18.9,273.0,834.0
259,522,5.0,-68.1064,-16.3023,0.649,4877.0,5134.0,5302.0,27.0,209.0,1057.0
260,523,12.0,-75.3715,4.80506,3.812,4625.0,4795.0,4940.0,15.7,97.0,1638.0
261,524,4.0,-68.1437,-16.26,1.826,4854.0,5319.0,5946.0,40.0,62.0,1926.0
262,526,6.0,9.8243,46.419,0.455,2883.0,3184.0,3373.0,21.4,49.0,363.0
263,527,332.0,8.61212,46.6049,0.092,2654.0,2803.0,2909.0,26.5,343.0,475.0
264,528,230.0,9.82369,46.4083,0.349,3041.0,3175.0,3308.0,18.9,93.0,794.0
265,529,296.0,8.41907,46.5502,0.449,2632.0,2768.0,2934.0,18.7,336.0,1002.0
266,530,163.0,6.93715,46.1666,0.661,2709.0,2889.0,2999.0,19.6,154.0,767.0
267,531,147.0,9.25535,46.9171,0.553,2576.0,2759.0,2999.0,20.8,103.0,1017.0
268,532,227.0,8.61109,46.5967,0.056,2695.0,2761.0,2820.0,19.3,65.0,383.0
269,533,89.0,9.24825,46.9105,0.666,2601.0,2769.0,3030.0,20.8,139.0,1107.0
